species,Compartment,MP_Form,Size_Fraction_um,number_fraction
eA16_Utopia,Air,freeMP,5000.0,0.9999999790989665
eA10_Utopia,Urban_Soil_Surface,freeMP,5000.0,3.5689494339987213e-09
eA12_Utopia,Background_Soil_Surface,freeMP,5000.0,3.5689494339987184e-09
eA14_Utopia,Agricultural_Soil_Surface,freeMP,5000.0,3.5675138324701595e-09
eA11_Utopia,Urban_Soil,freeMP,5000.0,3.398996002892157e-09
eA13_Utopia,Background_Soil,freeMP,5000.0,3.398996002892154e-09
eA15_Utopia,Agricultural_Soil,freeMP,5000.0,3.3976287647321425e-09
eA3_Utopia,Coast_Surface_Water,freeMP,5000.0,5.401268031788282e-20
eB3_Utopia,Coast_Surface_Water,heterMP,5000.0,5.399377951034262e-20
eA4_Utopia,Coast_Column_Water,freeMP,5000.0,5.3990945864349173e-20
